iter	Passed	Remaining
0	59	8883
1	60	4469
2	64	3170
3	66	2413
4	70	2039
5	73	1764
6	76	1565
7	79	1411
8	82	1300
9	86	1213
10	90	1143
11	93	1080
12	97	1029
13	100	979
14	104	943
15	106	889
16	109	856
17	113	833
18	117	807
19	118	770
20	123	757
21	127	744
22	134	742
23	138	728
24	142	710
25	145	693
26	148	676
27	151	660
28	155	648
29	158	635
30	162	623
31	166	613
32	169	600
33	173	590
34	177	582
35	180	572
36	184	563
37	188	556
38	191	546
39	195	537
40	198	528
41	202	520
42	205	511
43	209	503
44	212	496
45	215	488
46	219	480
47	222	472
48	226	465
49	229	459
50	233	453
51	237	448
52	241	441
53	244	435
54	248	429
55	251	422
56	255	417
57	258	410
58	263	405
59	267	401
60	279	407
61	285	405
62	292	403
63	296	398
64	299	392
65	303	386
66	307	380
67	311	375
68	315	370
69	318	363
70	322	358
71	326	354
72	330	348
73	333	342
74	337	337
75	340	331
76	344	326
77	348	321
78	352	316
79	357	313
80	360	307
81	363	301
82	367	296
83	371	291
84	374	286
85	378	281
86	381	276
87	385	271
88	389	266
89	393	262
90	396	257
91	400	252
92	404	247
93	408	243
94	432	250
95	437	246
96	442	241
97	446	237
98	451	232
99	456	228
100	460	223
101	471	221
102	475	217
103	480	212
104	485	208
105	489	203
106	493	198
107	498	193
108	504	189
109	508	184
110	511	179
111	517	175
112	522	170
113	525	165
114	528	160
115	531	155
116	535	151
117	539	146
118	542	141
119	545	136
120	548	131
121	551	126
122	554	121
123	558	117
124	561	112
125	564	107
126	568	102
127	571	98
128	574	93
129	578	88
130	581	84
131	584	79
132	588	75
133	592	70
134	605	67
135	609	62
136	612	58
137	616	53
138	621	49
139	625	44
140	628	40
141	631	35
142	636	31
143	639	26
144	643	22
145	647	17
146	650	13
147	653	8
148	657	4
149	660	0
